macro_name,file,value,category,recompute_phase,notes
\consensusFALow,paper/auto_numbers.tex,0,B,Phase 3,verdict-dependent (fa)
\consensusFAModelRange,paper/auto_numbers.tex,4.6--17.5,B,Phase 3,verdict-dependent (model)
\auditNGraphs,paper/auto_numbers.tex,25,A,,override
\auditTotalRules,paper/auto_numbers.tex,1049,A,,override
\auditUnreachableRate,paper/auto_numbers.tex,36.5,A,,override
\auditContradictoryRate,paper/auto_numbers.tex,0.0,A,,override
\auditProvenanceComplete,paper/auto_numbers.tex,100.0,A,,override
\invarianceMaxFADelta,paper/auto_numbers.tex,6.36,B,Phase 3,verdict-dependent (fa)
\invarianceAllStable,paper/auto_numbers.tex,6/8,B,Phase 3,verdict-dependent (ari)
\invarianceTCCFlips,paper/auto_numbers.tex,0,B,Phase 3,verdict-dependent (tcc)
\nonTimingNaturalCount,paper/auto_numbers.tex,354,B,Phase 3,verdict-dependent (count)
\nonTimingNaturalPct,paper/auto_numbers.tex,2.09,B,Phase 3,verdict-dependent (timing)
\nonTimingACBlindPct,paper/auto_numbers.tex,72.0,B,Phase 3,verdict-dependent (blind)
\solverVerdictReversalN,paper/auto_numbers.tex,0,B,Phase 2,verdict-dependent (verdict)
\solverSubsetN,paper/auto_numbers.tex,16944,B,Phase 3,verdict-dependent (solver)
\solverILPRho,paper/auto_numbers.tex,0.920,B,Phase 3,verdict-dependent (ilp)
\solverILPPct,paper/auto_numbers.tex,20.4,B,Phase 3,verdict-dependent (ilp)
\solverSpearmanDg,paper/auto_numbers.tex,0.920,B,Phase 3,verdict-dependent (solver)
\solverRankReversals,paper/auto_numbers.tex,0,B,Phase 3,verdict-dependent (solver)
\solverTieredBetter,paper/auto_numbers.tex,8.68,B,Phase 3,verdict-dependent (solver)
\noContextPairs,paper/auto_numbers.tex,238,B,Phase 3,default (unclassified)
\noContextTCCDetect,paper/auto_numbers.tex,100.0,A,,system/structural constant
\noContextASCDetect,paper/auto_numbers.tex,0.0,A,,system/structural constant
\termJudgeTtwoFA,paper/auto_numbers.tex,30.7,B,Phase 3,verdict-dependent (term)
\termJudgeTthreeFA,paper/auto_numbers.tex,18.5,B,Phase 3,verdict-dependent (term)
\termJudgeTtwoTthreeGap,paper/auto_numbers.tex,12.2,B,Phase 4,verdict-dependent (term)
\termJudgeTtwoBSRcond,paper/auto_numbers.tex,46.3,B,Phase 2,verdict-dependent (term)
\termJudgeTthreeBSRcond,paper/auto_numbers.tex,28.4,B,Phase 2,verdict-dependent (term)
\ablationPassFull,paper/auto_numbers.tex,49.5,B,Phase 2,verdict-dependent (ablation)
\ablationPassActionOnly,paper/auto_numbers.tex,90.4,B,Phase 2,verdict-dependent (ablation)
\ablationPassNoTiming,paper/auto_numbers.tex,90.4,B,Phase 2,verdict-dependent (ablation)
\ablationPassNoOrder,paper/auto_numbers.tex,49.8,B,Phase 2,verdict-dependent (ablation)
\ablationGapActionFull,paper/auto_numbers.tex,40.9,B,Phase 3,verdict-dependent (ablation)
\instrWithinOnlyN,paper/auto_numbers.tex,6921,B,Phase 3,verdict-dependent (instr)
\faWithinOnlyN,paper/auto_numbers.tex,6921,B,Phase 3,verdict-dependent (fa)
\bsrFullDxEM,paper/auto_numbers.tex,50.5,B,Phase 2,verdict-dependent (bsr)
\bsrTerminalAll,paper/auto_numbers.tex,0.0,B,Phase 2,verdict-dependent (term)
\heldoutN,paper/auto_numbers.tex,1584,B,Phase 4,verdict-dependent (heldout)
\clockRobustPct,paper/auto_numbers.tex,70.3,B,Phase 3,verdict-dependent (clock)
\clockBoundaryPct,paper/auto_numbers.tex,29.7,B,Phase 3,verdict-dependent (clock)
\clockCoarserRange,paper/auto_numbers.tex,11.0--24.0,B,Phase 3,verdict-dependent (clock)
\clockJitterFlipPct,paper/auto_numbers.tex,2.2,B,Phase 3,verdict-dependent (clock)
\gemmaJudgeTtwoFA,paper/auto_numbers.tex,42.3,B,Phase 3,verdict-dependent (fa)
\gemmaJudgeTthreeFA,paper/auto_numbers.tex,25.9,B,Phase 3,verdict-dependent (fa)
\gemmaJudgeTtwoTthreeGap,paper/auto_numbers.tex,16.4,B,Phase 4,verdict-dependent (judge)
\mcnemarTimestampP,paper/auto_numbers.tex,$<$0.001,B,Phase 3,default (unclassified)
\defaultPassTzeroFA,paper/auto_numbers.tex,4.2,B,Phase 3,verdict-dependent (fa)
\timingBoundaryUrgentPct,paper/auto_numbers.tex,59,B,Phase 3,verdict-dependent (timing)
\termJudgeTzeroFA,paper/auto_numbers.tex,1.9,B,Phase 3,verdict-dependent (term)
\termJudgeToneFA,paper/auto_numbers.tex,25.5,B,Phase 3,verdict-dependent (term)
\gemmaJudgeTzeroFA,paper/auto_numbers.tex,32.1,B,Phase 3,verdict-dependent (fa)
\gemmaJudgeToneFA,paper/auto_numbers.tex,34.7,B,Phase 3,verdict-dependent (fa)
\clusterDistPAFtoASC,paper/auto_numbers.tex,0.57,B,Phase 3,verdict-dependent (paf)
\clusterDistPAFtoTCC,paper/auto_numbers.tex,1.20,B,Phase 3,verdict-dependent (paf)
\mimicHBDetectionLoss,paper/auto_numbers.tex,81,B,Phase 2,override
\auditDuplicateRate,paper/auto_numbers.tex,9.3,A,,override
\auditDeadRate,paper/auto_numbers.tex,57.5,A,,override
\invarianceGapFixAliases,paper/auto_numbers.tex,40,B,Phase 3,verdict-dependent (ari)
\consensusFADomainMaxName,paper/auto_numbers.tex,aha\_stroke\_2019,B,Phase 3,verdict-dependent (fa)
\consensusFADomainMax,paper/auto_numbers.tex,337,B,Phase 3,verdict-dependent (fa)
\solverTieredBetterN,paper/auto_numbers.tex,1470,B,Phase 3,verdict-dependent (solver)
\consensusFAOss,paper/auto_numbers.tex,14.3,B,Phase 3,verdict-dependent (fa)
\consensusFANemotron,paper/auto_numbers.tex,4.6,B,Phase 3,verdict-dependent (fa)
\consensusFADeepseek,paper/auto_numbers.tex,17.5,B,Phase 3,verdict-dependent (fa)
\mimicACWithinDetect,paper/auto_numbers.tex,15.3,B,Phase 3,verdict-dependent (hi)
\mimicACForbidDetect,paper/auto_numbers.tex,21.1,B,Phase 3,verdict-dependent (or)
\mimicACBeforeDetect,paper/auto_numbers.tex,0.0,B,Phase 3,verdict-dependent (or)
\mimicACMustDetect,paper/auto_numbers.tex,30.8,B,Phase 3,verdict-dependent (detect)
\mimicMABWithinDetect,paper/auto_numbers.tex,36.3,B,Phase 3,verdict-dependent (hi)
\mimicMABForbidDetect,paper/auto_numbers.tex,60.0,B,Phase 3,verdict-dependent (or)
\mimicMABBeforeDetect,paper/auto_numbers.tex,10.6,B,Phase 3,verdict-dependent (or)
\mimicMABMustDetect,paper/auto_numbers.tex,47.5,B,Phase 3,verdict-dependent (detect)
\mimicHBFA,paper/auto_numbers.tex,42.5,B,Phase 3,verdict-dependent (fa)
\auditUniqueActions,paper/auto_numbers.tex,611,A,,override
\auditConstraintsPerNode,paper/auto_numbers.tex,6.3,A,,override
\auditGraphsWithUnreachable,paper/auto_numbers.tex,5,A,,override
\auditDeadNodes,paper/auto_numbers.tex,96,A,,override
\auditDuplicates,paper/auto_numbers.tex,98,A,,override
\auditUnreachableNodes,paper/auto_numbers.tex,61,A,,override
\invarianceAffectedPct,paper/auto_numbers.tex,73.5,B,Phase 3,verdict-dependent (ari)
\invarianceCoverageFlip,paper/auto_numbers.tex,1078,B,Phase 3,verdict-dependent (flip)
\invarianceSolverRho,paper/auto_numbers.tex,0.920,B,Phase 3,verdict-dependent (solver)
\nonTimingMABBlindPct,paper/auto_numbers.tex,52.0,B,Phase 3,verdict-dependent (blind)
\nonTimingForbiddenOnly,paper/auto_numbers.tex,315,B,Phase 3,verdict-dependent (or)
\nonTimingBeforeOnly,paper/auto_numbers.tex,39,B,Phase 3,verdict-dependent (or)
\nonTimingTotalConstraints,paper/auto_numbers.tex,226,B,Phase 3,verdict-dependent (timing)
\solverEqualN,paper/auto_numbers.tex,12025,B,Phase 3,verdict-dependent (solver)
\solverILPBetterN,paper/auto_numbers.tex,3449,B,Phase 3,verdict-dependent (ilp)
\solverTieBreakN,paper/auto_numbers.tex,221,B,Phase 3,verdict-dependent (solver)
\solverPhaseOrderN,paper/auto_numbers.tex,239,B,Phase 3,verdict-dependent (solver)
\solverFormGapN,paper/auto_numbers.tex,1010,B,Phase 3,verdict-dependent (solver)
\solverFormGapMeanDiff,paper/auto_numbers.tex,1702.2,B,Phase 3,verdict-dependent (solver)
\solverFormGapMaxDiff,paper/auto_numbers.tex,15435,B,Phase 3,verdict-dependent (solver)
\surveyNBenchmarks,paper/auto_numbers.tex,12,A,,override
\surveyNOthers,paper/auto_numbers.tex,11,A,,override
\surveyNProcessOblivious,paper/auto_numbers.tex,8,B,Phase 3,default (unclassified)
\surveyNTimingChecked,paper/auto_numbers.tex,0,B,Phase 3,verdict-dependent (timing)
\surveyNOrderChecked,paper/auto_numbers.tex,1,B,Phase 3,verdict-dependent (or)
\surveyNConditionalChecked,paper/auto_numbers.tex,2,B,Phase 3,default (unclassified)
\timingBaselineViolRate,paper/auto_numbers.tex,66.04,B,Phase 3,verdict-dependent (timing)
\timingDurModelViolRate,paper/auto_numbers.tex,65.66,B,Phase 3,verdict-dependent (model)
\timingDurModelVerdictChange,paper/auto_numbers.tex,2.17,B,Phase 2,verdict-dependent (verdict)
\timingDurModelWithinResolved,paper/auto_numbers.tex,1.93,B,Phase 3,verdict-dependent (model)
\timingDurModelWithinPersist,paper/auto_numbers.tex,98.07,B,Phase 3,verdict-dependent (model)
\timingParallelViolRate,paper/auto_numbers.tex,65.1,B,Phase 3,verdict-dependent (timing)
\timingParallelVerdictChange,paper/auto_numbers.tex,2.73,B,Phase 2,verdict-dependent (verdict)
\timingParallelWithinResolved,paper/auto_numbers.tex,2.78,B,Phase 3,verdict-dependent (hi)
\timingZeroReasonViolRate,paper/auto_numbers.tex,66.03,B,Phase 3,verdict-dependent (or)
\timingZeroReasonVerdictChange,paper/auto_numbers.tex,0.01,B,Phase 2,verdict-dependent (verdict)
\timingZeroReasonWithinResolved,paper/auto_numbers.tex,0.02,B,Phase 3,verdict-dependent (hi)
\clockCrossViolRateMin,paper/auto_numbers.tex,46.44,B,Phase 3,verdict-dependent (cross)
\clockCrossViolRateMax,paper/auto_numbers.tex,90.0,B,Phase 3,verdict-dependent (cross)
\clockCrossViolRange,paper/auto_numbers.tex,46.44--90.0,B,Phase 3,verdict-dependent (cross)
\strictFAThree,paper/auto_numbers.tex,6.6,B,Phase 3,verdict-dependent (fa)
\strictFAThreeCount,paper/auto_numbers.tex,1118,B,Phase 3,verdict-dependent (fa)
\strictFAFour,paper/auto_numbers.tex,6.6,B,Phase 3,verdict-dependent (fa)
\strictFAFourCount,paper/auto_numbers.tex,1118,B,Phase 3,verdict-dependent (fa)
\strictFACriticalPct,paper/auto_numbers.tex,6.2,B,Phase 3,verdict-dependent (fa)
\strictFACriticalCount,paper/auto_numbers.tex,69,B,Phase 3,verdict-dependent (fa)
\strictFAMedianViols,paper/auto_numbers.tex,1,B,Phase 3,verdict-dependent (fa)
\crossReplayACBSRcond,paper/auto_numbers.tex,57.1,B,Phase 2,verdict-dependent (cross)
\fidelityNTraces,paper/auto_numbers.tex,15,B,Phase 3,verdict-dependent (fidelity)
\fidelityNFail,paper/auto_numbers.tex,14,B,Phase 3,verdict-dependent (fa)
\fidelityMABDetect,paper/auto_numbers.tex,1,B,Phase 3,verdict-dependent (fidelity)
\fidelityACDetect,paper/auto_numbers.tex,1,A,,system/structural constant
\fidelityTCCDetect,paper/auto_numbers.tex,14,A,,system/structural constant
\fidelityTCCPerfect,paper/auto_numbers.tex,true,B,Phase 3,verdict-dependent (fidelity)
\distCheckNObs,paper/auto_numbers.tex,24,A,,system/structural constant
\distCheckInsideRate,paper/auto_numbers.tex,100.0,A,,system/structural constant
\distCheckIqrOverlap,paper/auto_numbers.tex,91.7,A,,system/structural constant
\distCheckRangeContained,paper/auto_numbers.tex,75.0,A,,system/structural constant
\heldoutOrderingMatch,paper/auto_numbers.tex,5/5,B,Phase 4,verdict-dependent (heldout)
\heldoutOrderingMatchPct,paper/auto_numbers.tex,100,B,Phase 4,verdict-dependent (heldout)
\heldoutOrderingMeanRho,paper/auto_numbers.tex,0.50,B,Phase 4,verdict-dependent (mean)
\mimicProtocolHash,paper/auto_numbers.tex,8e3875401bb1,A,,system/structural constant
\mimicProtocolDate,paper/auto_numbers.tex,2026-04-18,A,,system/structural constant
\rankBootstrapB,paper/auto_numbers.tex,10000,B,Phase 3,default (unclassified)
\rankBootstrapKendallW,paper/auto_numbers.tex,0.408,B,Phase 3,verdict-dependent (kendall)
\rankBootstrapKendallWLo,paper/auto_numbers.tex,0.342,B,Phase 3,verdict-dependent (kendall)
\rankBootstrapKendallWHi,paper/auto_numbers.tex,0.461,B,Phase 3,verdict-dependent (hi)
\rankBootstrapMaxCIWidth,paper/auto_numbers.tex,3.0,B,Phase 3,verdict-dependent (ci)
\rankBootstrapTopOneStable,paper/auto_numbers.tex,3/4,B,Phase 3,default (unclassified)
\rankBootstrapTopOneStablePct,paper/auto_numbers.tex,75,B,Phase 3,verdict-dependent (pct)
\oracleNDomains,paper/auto_numbers.tex,5,B,Phase 3,verdict-dependent (or)
\oracleNDomainsTotal,paper/auto_numbers.tex,6,B,Phase 3,verdict-dependent (or)
\oracleNScenarios,paper/auto_numbers.tex,8,B,Phase 3,verdict-dependent (or)
\oracleMeanGap,paper/auto_numbers.tex,+11.4,B,Phase 3,verdict-dependent (mean)
\oracleMinGap,paper/auto_numbers.tex,-16.1,B,Phase 3,verdict-dependent (or)
\oracleMaxGap,paper/auto_numbers.tex,+38.9,B,Phase 3,verdict-dependent (or)
\oracleMaxDomain,paper/auto_numbers.tex,Stroke,B,Phase 3,verdict-dependent (or)
\oracleMinDomain,paper/auto_numbers.tex,Sepsis,B,Phase 3,verdict-dependent (or)
\oracleNegativeGapCount,paper/auto_numbers.tex,1,B,Phase 3,verdict-dependent (count)
\promptScaffoldN,paper/auto_numbers.tex,2118,B,Phase 3,verdict-dependent (scaffold)
\promptScaffoldReactFlip,paper/auto_numbers.tex,81.0,B,Phase 3,verdict-dependent (scaffold)
\promptScaffoldDirectFlip,paper/auto_numbers.tex,78.7,B,Phase 3,verdict-dependent (scaffold)
\promptScaffoldFlipDelta,paper/auto_numbers.tex,2.3,B,Phase 3,verdict-dependent (scaffold)
\promptScaffoldReactAOFA,paper/auto_numbers.tex,12.8,B,Phase 3,verdict-dependent (fa)
\promptScaffoldDirectAOFA,paper/auto_numbers.tex,16.1,B,Phase 3,verdict-dependent (fa)
\promptScaffoldAOFADelta,paper/auto_numbers.tex,3.3,B,Phase 3,verdict-dependent (fa)
\promptScaffoldMcNemarP,paper/auto_numbers.tex,0.032,B,Phase 3,verdict-dependent (scaffold)
\promptScaffoldBlindSpotJaccard,paper/auto_numbers.tex,0.34,B,Phase 3,verdict-dependent (blind)
\promptScaffoldReactAC,paper/auto_numbers.tex,79.1,B,Phase 3,verdict-dependent (scaffold)
\promptScaffoldDirectAC,paper/auto_numbers.tex,74.7,B,Phase 3,verdict-dependent (scaffold)
\promptScaffoldReactMAB,paper/auto_numbers.tex,56.8,B,Phase 3,verdict-dependent (scaffold)
\promptScaffoldDirectMAB,paper/auto_numbers.tex,49.7,B,Phase 3,verdict-dependent (scaffold)
\promptScaffoldReactCGA,paper/auto_numbers.tex,44.7,B,Phase 3,verdict-dependent (scaffold)
\promptScaffoldDirectCGA,paper/auto_numbers.tex,43.2,B,Phase 3,verdict-dependent (scaffold)
\promptJudgeVariants,paper/auto_numbers.tex,4,B,Phase 4,verdict-dependent (judge)
\wEightTotalEpisodes,paper/auto_numbers.tex,"8{,",B,Phase 3,verdict-dependent (weight)
\wEightNPerCell,paper/auto_numbers.tex,706,B,Phase 3,verdict-dependent (weight)
\numScaffolds,paper/auto_numbers.tex,4,C,,corpus/config parameter
\wEightAggReactAOFA,paper/auto_numbers.tex,19.5,B,Phase 3,verdict-dependent (fa)
\wEightAggDirectAOFA,paper/auto_numbers.tex,17.5,B,Phase 3,verdict-dependent (fa)
\wEightAggChecklistAOFA,paper/auto_numbers.tex,19.0,B,Phase 3,verdict-dependent (fa)
\wEightAggToolUseAOFA,paper/auto_numbers.tex,19.1,B,Phase 3,verdict-dependent (fa)
\wEightAggAOFAMin,paper/auto_numbers.tex,17.5,B,Phase 3,verdict-dependent (fa)
\wEightAggAOFAMax,paper/auto_numbers.tex,19.5,B,Phase 3,verdict-dependent (fa)
\wEightAggAOFARange,paper/auto_numbers.tex,2.0,B,Phase 3,verdict-dependent (fa)
\wEightFriedmanChi,paper/auto_numbers.tex,1.0,B,Phase 3,verdict-dependent (hi)
\wEightFriedmanP,paper/auto_numbers.tex,0.80,B,Phase 3,verdict-dependent (weight)
\wEightKendallW,paper/auto_numbers.tex,0.11,B,Phase 3,verdict-dependent (weight)
\wEightComplianceMin,paper/auto_numbers.tex,0.539,B,Phase 3,verdict-dependent (weight)
\wEightComplianceMax,paper/auto_numbers.tex,0.796,B,Phase 3,verdict-dependent (weight)
\wEightComplianceSpread,paper/auto_numbers.tex,25.7,B,Phase 3,verdict-dependent (weight)
\wEightQwenTUActions,paper/auto_numbers.tex,5.3,B,Phase 3,verdict-dependent (weight)
\wEightQwenTUPassAC,paper/auto_numbers.tex,13.2,B,Phase 2,verdict-dependent (weight)
\wEightQwenTUPassMAB,paper/auto_numbers.tex,9.8,B,Phase 2,verdict-dependent (weight)
\wEightQwenTUPassCGA,paper/auto_numbers.tex,83.3,B,Phase 2,verdict-dependent (cga)
\wEightQwenTUFA,paper/auto_numbers.tex,0.1,B,Phase 3,verdict-dependent (fa)
\scaffoldAblationLabel,paper/auto_numbers.tex,four,B,Phase 3,verdict-dependent (scaffold)
\scaffoldAblationCount,paper/auto_numbers.tex,4,B,Phase 3,verdict-dependent (scaffold)
\scaffoldAOFAMin,paper/auto_numbers.tex,\wEightAggAOFAMin,B,Phase 3,verdict-dependent (fa)
\scaffoldAOFAMax,paper/auto_numbers.tex,\wEightAggAOFAMax,B,Phase 3,verdict-dependent (fa)
\scaffoldAOFARange,paper/auto_numbers.tex,\wEightAggAOFARange,B,Phase 3,verdict-dependent (fa)
\leakageScanNCanaries,paper/auto_numbers.tex,200,A,,system/structural constant
\leakageScanDirsPassed,paper/auto_numbers.tex,4,A,,system/structural constant
\eOneWithinN,paper/auto_numbers.tex,56,B,Phase 3,verdict-dependent (hi)
\eOneWithinASCLo,paper/auto_numbers.tex,0.0,B,Phase 3,verdict-dependent (hi)
\eOneWithinASCHi,paper/auto_numbers.tex,6.4,B,Phase 3,verdict-dependent (hi)
\eOneBeforeN,paper/auto_numbers.tex,17,B,Phase 3,verdict-dependent (or)
\eOneBeforeASCLo,paper/auto_numbers.tex,0.0,B,Phase 3,verdict-dependent (or)
\eOneBeforeASCHi,paper/auto_numbers.tex,18.4,B,Phase 3,verdict-dependent (hi)
\eOneForbidN,paper/auto_numbers.tex,72,B,Phase 3,verdict-dependent (or)
\eOneForbidPAFLo,paper/auto_numbers.tex,0.2,B,Phase 3,verdict-dependent (paf)
\eOneForbidPAFHi,paper/auto_numbers.tex,7.5,B,Phase 3,verdict-dependent (paf)
\eOneForbidASCLo,paper/auto_numbers.tex,0.0,B,Phase 3,verdict-dependent (or)
\eOneForbidASCHi,paper/auto_numbers.tex,5.1,B,Phase 3,verdict-dependent (hi)
\eOneMustN,paper/auto_numbers.tex,77,B,Phase 3,default (unclassified)
\eOneMustASCLo,paper/auto_numbers.tex,0.0,B,Phase 3,verdict-dependent (lo)
\eOneMustASCHi,paper/auto_numbers.tex,4.8,B,Phase 3,verdict-dependent (hi)
\eOneNullN,paper/auto_numbers.tex,110,B,Phase 3,default (unclassified)
\eOneNullHi,paper/auto_numbers.tex,3.4,B,Phase 3,verdict-dependent (hi)
\oracleCodeAgentFiles,paper/auto_numbers.tex,13,A,,system/structural constant
\oracleCodeEngineFiles,paper/auto_numbers.tex,7,A,,system/structural constant
\oracleCodeAgentLOC,paper/auto_numbers.tex,6022,A,,system/structural constant
\oracleCodeEngineLOC,paper/auto_numbers.tex,1041,A,,system/structural constant
\oracleCodeTokenJaccardRaw,paper/auto_numbers.tex,0.079,A,,system/structural constant
\oracleCodeTokenJaccardFiltered,paper/auto_numbers.tex,0.052,A,,system/structural constant
\oracleCodeBigramJaccard,paper/auto_numbers.tex,0.018,A,,system/structural constant
\oracleCodeAstNodeTypeJaccard,paper/auto_numbers.tex,0.862,A,,system/structural constant
\oracleCodeAstSigJaccard,paper/auto_numbers.tex,0.177,A,,system/structural constant
\oracleCodeCrossImports,paper/auto_numbers.tex,0,A,,system/structural constant
\oracleCodeIdenticalHashes,paper/auto_numbers.tex,0,A,,system/structural constant
\oracleCodeSharedClasses,paper/auto_numbers.tex,0,A,,system/structural constant
\oracleCodeSharedFunctions,paper/auto_numbers.tex,3,A,,system/structural constant
\projAblationN,paper/auto_numbers.tex,500,B,Phase 3,verdict-dependent (ablation)
\projAblationConfigs,paper/auto_numbers.tex,16,C,,config/threshold parameter
\projAblationAsetShapleyCGA,paper/auto_numbers.tex,-0.1522,B,Phase 3,verdict-dependent (cga)
\projAblationAsetShapleyViol,paper/auto_numbers.tex,+3.18,B,Phase 3,verdict-dependent (ablation)
\projAblationAsetDetection,paper/auto_numbers.tex,0.839,B,Phase 3,verdict-dependent (ablation)
\projAblationTermShapleyCGA,paper/auto_numbers.tex,+0.0221,B,Phase 3,verdict-dependent (term)
\projAblationTermShapleyViol,paper/auto_numbers.tex,-0.435,B,Phase 3,verdict-dependent (term)
\projAblationTermDetection,paper/auto_numbers.tex,0.000,B,Phase 3,verdict-dependent (term)
\projAblationNtimShapleyCGA,paper/auto_numbers.tex,-0.0030,B,Phase 3,verdict-dependent (cga)
\projAblationNtimShapleyViol,paper/auto_numbers.tex,+0.067,B,Phase 3,verdict-dependent (ablation)
\projAblationNtimDetection,paper/auto_numbers.tex,0.000,B,Phase 3,verdict-dependent (ablation)
\projAblationNctxShapleyCGA,paper/auto_numbers.tex,0.000,B,Phase 3,verdict-dependent (cga)
\projAblationNctxShapleyViol,paper/auto_numbers.tex,0.000,B,Phase 3,verdict-dependent (ablation)
\projAblationNctxDetection,paper/auto_numbers.tex,0.000,B,Phase 3,verdict-dependent (ablation)
\amegaForwardNModels,paper/auto_numbers.tex,3,B,Phase 4,verdict-dependent (model)
\amegaForwardNRuns,paper/auto_numbers.tex,3,B,Phase 4,verdict-dependent (amega)
\amegaForwardQwenMean,paper/auto_numbers.tex,0.029,B,Phase 4,verdict-dependent (amega)
\amegaForwardGemmaMean,paper/auto_numbers.tex,0.003,B,Phase 4,verdict-dependent (amega)
\amegaForwardOssMean,paper/auto_numbers.tex,0.001,B,Phase 4,verdict-dependent (amega)
\amegaForwardRankAgreement,paper/auto_numbers.tex,3/3,B,Phase 4,verdict-dependent (amega)
\withinOnlyRate,paper/auto_numbers.tex,40.8,B,Phase 3,verdict-dependent (hi)
\numEOnePairs,paper/auto_numbers.tex,--,B,Phase 3,placeholder (pending computation)
\numEpisodesDS,paper/auto_numbers.tex,--,C,,config/threshold parameter
\numEpisodesQwenFour,paper/auto_numbers.tex,--,C,,config/threshold parameter
\numEpisodesQwenTwentySeven,paper/auto_numbers.tex,--,C,,config/threshold parameter
\numEpisodesQwenThirtyFive,paper/auto_numbers.tex,--,C,,config/threshold parameter
\numEpisodesNemo,paper/auto_numbers.tex,--,C,,config/threshold parameter
\numEpisodesGemma,paper/auto_numbers.tex,--,C,,config/threshold parameter
\numEpisodesOSS,paper/auto_numbers.tex,--,C,,config/threshold parameter
\numEpisodesQwenThreeNineSeven,paper/auto_numbers.tex,--,C,,config/threshold parameter
\faDeepSeek,paper/auto_numbers.tex,--,B,Phase 3,verdict-dependent (fa)
\faQwenFour,paper/auto_numbers.tex,--,B,Phase 3,verdict-dependent (fa)
\faQwenTwentySeven,paper/auto_numbers.tex,--,B,Phase 3,verdict-dependent (fa)
\faQwenThirtyFive,paper/auto_numbers.tex,--,B,Phase 3,verdict-dependent (fa)
\faNemo,paper/auto_numbers.tex,--,B,Phase 3,verdict-dependent (fa)
\faGemma,paper/auto_numbers.tex,--,B,Phase 3,verdict-dependent (fa)
\faOSS,paper/auto_numbers.tex,--,B,Phase 3,verdict-dependent (fa)
\faQwenThreeNineSeven,paper/auto_numbers.tex,--,B,Phase 3,verdict-dependent (fa)
\bsrDSN,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (bsr)
\bsrDSFail,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (fa)
\bsrDSPct,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (bsr)
\bsrQfourN,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (bsr)
\bsrQfourFail,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (fa)
\bsrQfourPct,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (bsr)
\bsrQtwentysevenN,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (bsr)
\bsrQtwentysevenFail,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (fa)
\bsrQtwentysevenPct,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (bsr)
\bsrQthirtyfiveN,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (hi)
\bsrQthirtyfiveFail,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (fa)
\bsrQthirtyfivePct,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (hi)
\bsrNemoN,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (bsr)
\bsrNemoFail,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (fa)
\bsrNemoPct,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (bsr)
\bsrGemmaN,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (gemma)
\bsrGemmaFail,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (fa)
\bsrGemmaPct,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (gemma)
\bsrOSSN,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (bsr)
\bsrOSSFail,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (fa)
\bsrOSSPct,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (bsr)
\bsrQthreenineN,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (bsr)
\bsrQthreenineFail,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (fa)
\bsrQthreeninePct,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (bsr)
\bsrAllN,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (bsr)
\bsrAllFail,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (fa)
\bsrAllPct,paper/auto_numbers.tex,--,B,Phase 2,verdict-dependent (bsr)
\cresOneDNEpisodes,paper/auto_numbers.tex,"14{,",B,Phase 3,verdict-dependent (cres)
\cresOneDNFeatures,paper/auto_numbers.tex,49,B,Phase 3,verdict-dependent (cres)
\cresOneDAUCFull,paper/auto_numbers.tex,0.995,B,Phase 3,verdict-dependent (cres)
\cresOneDAUCASC,paper/auto_numbers.tex,0.947,B,Phase 3,verdict-dependent (cres)
\cresOneDDeltaAUC,paper/auto_numbers.tex,+0.048,B,Phase 3,verdict-dependent (cres)
\cresOneDTopFeature,paper/auto_numbers.tex,n\_med\_actions,B,Phase 3,verdict-dependent (cres)
\cresFiveEtaSq,paper/auto_numbers.tex,0.072,B,Phase 3,verdict-dependent (cres)
\cresFiveEtaRun,paper/auto_numbers.tex,0.0515,B,Phase 3,verdict-dependent (cres)
\cresFiveCohenF,paper/auto_numbers.tex,0.078,B,Phase 3,verdict-dependent (cres)
